product_name,pict_url,rating,size,color,gender,price,timestamp
T-shirt 2,https://picsum.photos/280/350?random=2,⭐ 3.9 / 5,M,3 Colors,Women,1634400,2025-06-01-20:07:01
Hoodie 3,https://picsum.photos/280/350?random=3,⭐ 4.8 / 5,L,3 Colors,Unisex,7950080,2025-06-01-20:07:01
Pants 4,https://picsum.photos/280/350?random=4,⭐ 3.3 / 5,XL,3 Colors,Men,7476960,2025-06-01-20:07:01
Outerwear 5,https://picsum.photos/280/350?random=5,⭐ 3.5 / 5,XXL,3 Colors,Women,5145440,2025-06-01-20:07:01
Jacket 6,https://picsum.photos/280/350?random=6,⭐ 3.3 / 5,S,3 Colors,Unisex,2453920,2025-06-01-20:07:01
Crewneck 7,https://picsum.photos/280/350?random=7,⭐ 4.3 / 5,M,3 Colors,Men,6892000,2025-06-01-20:07:01
T-shirt 8,https://picsum.photos/280/350?random=8,⭐ 3.1 / 5,L,3 Colors,Women,7802560,2025-06-01-20:07:01
Hoodie 9,https://picsum.photos/280/350?random=9,⭐ 3.2 / 5,XL,3 Colors,Unisex,3972160,2025-06-01-20:07:01
Pants 10,https://picsum.photos/280/350?random=10,⭐ 4.2 / 5,XXL,3 Colors,Men,3100160,2025-06-01-20:07:01
Jacket 12,https://picsum.photos/280/350?random=12,⭐ 3.9 / 5,M,3 Colors,Unisex,8527840,2025-06-01-20:07:01
Crewneck 13,https://picsum.photos/280/350?random=13,⭐ 3.2 / 5,L,3 Colors,Men,5447200,2025-06-01-20:07:01
T-shirt 14,https://picsum.photos/280/350?random=14,⭐ 3.8 / 5,XL,3 Colors,Women,3248800,2025-06-01-20:07:01
Hoodie 15,https://picsum.photos/280/350?random=15,⭐ 3.6 / 5,XXL,3 Colors,Unisex,2184160,2025-06-01-20:07:01
Outerwear 17,https://picsum.photos/280/350?random=17,⭐ 3.8 / 5,M,3 Colors,Women,841600,2025-06-01-20:07:01
Jacket 18,https://picsum.photos/280/350?random=18,⭐ 3.8 / 5,L,3 Colors,Unisex,5500000,2025-06-01-20:07:01
Crewneck 19,https://picsum.photos/280/350?random=19,⭐ 3.6 / 5,XL,3 Colors,Men,1308960,2025-06-01-20:07:01
T-shirt 20,https://picsum.photos/280/350?random=20,⭐ 3.4 / 5,XXL,3 Colors,Women,1325600,2025-06-01-20:07:01
Pants 22,https://picsum.photos/280/350?random=22,⭐ 4.9 / 5,M,3 Colors,Men,4319680,2025-06-01-20:07:04
Outerwear 23,https://picsum.photos/280/350?random=23,⭐ 3.7 / 5,L,3 Colors,Women,4655840,2025-06-01-20:07:04
Jacket 24,https://picsum.photos/280/350?random=24,⭐ 3.9 / 5,XL,3 Colors,Unisex,8223520,2025-06-01-20:07:04
Crewneck 25,https://picsum.photos/280/350?random=25,⭐ 3.3 / 5,XXL,3 Colors,Men,8322559,2025-06-01-20:07:04
T-shirt 26,https://picsum.photos/280/350?random=26,⭐ 4.6 / 5,S,3 Colors,Women,7292320,2025-06-01-20:07:04
Hoodie 27,https://picsum.photos/280/350?random=27,⭐ 4.8 / 5,M,3 Colors,Unisex,3551840,2025-06-01-20:07:04
Pants 28,https://picsum.photos/280/350?random=28,⭐ 4.0 / 5,L,3 Colors,Men,5216160,2025-06-01-20:07:04
Outerwear 29,https://picsum.photos/280/350?random=29,⭐ 3.1 / 5,XL,3 Colors,Women,861600,2025-06-01-20:07:04
